Item,Date,DateTime,Timestamp,Reference_Price,Bid_Depth,Ask_Depth,Percentage
MDTUSDT,2024-12-24,2024-12-24 17:08:23.191000+03:30,1735047503191,0.06101,550626.3,716959.6,0.0
MEMEIRT,2024-12-24,2024-12-24 17:08:23.800000+03:30,1735047503800,8680.0,1347574.0,1245632.0,0.0
MEMEUSDT,2024-12-24,2024-12-24 17:08:23.185000+03:30,1735047503185,0.01099,2619543.0,2086798.0,0.0
MKRIRT,2024-12-24,2024-12-24 17:08:23.588000+03:30,1735047503588,1290000000.0,9.46491,13.137270000000001,0.0
MKRUSDT,2024-12-24,2024-12-24 17:08:22.995000+03:30,1735047502995,1640.0,19.50892,21.52927,0.0
MOVEIRT,2024-12-24,2024-12-24 17:08:23.828000+03:30,1735047503828,665000.0,6634.51,18313.65,0.0
MOVEUSDT,2024-12-24,2024-12-24 17:08:23.213000+03:30,1735047503213,0.8374,26580.13,35601.020000000004,0.0
NEARIRT,2024-12-24,2024-12-24 17:08:23.700000+03:30,1735047503700,4419880.0,1811.3,2464.0,0.0
NEARUSDT,2024-12-24,2024-12-24 17:08:23.096000+03:30,1735047503096,5.564,4469.3,4808.2,0.0
NMRIRT,2024-12-24,2024-12-24 17:08:23.642000+03:30,1735047503642,13025030.0,2095.3758000000003,2074.9053,0.0
NMRUSDT,2024-12-24,2024-12-24 17:08:23.063000+03:30,1735047503063,16.5,2050.384,1894.1027,0.0
NOTIRT,2024-12-24,2024-12-24 17:08:23.808000+03:30,1735047503808,5368.0,1360411.0,4165976.0,0.0
NOTUSDT,2024-12-24,2024-12-24 17:08:23.197000+03:30,1735047503197,0.00678,4233747.0,1381297.0,0.0
OMGIRT,2024-12-24,2024-12-24 17:08:23.849000+03:30,1735047503849,160270.0,320.0,59.22,0.0
OMGUSDT,2024-12-24,2024-12-24 17:08:23.233000+03:30,1735047503233,0.2774,500.0,39.96,0.0
OMIRT,2024-12-24,2024-12-24 17:08:23.736000+03:30,1735047503736,2955910.0,4743.24,8978.74,0.0
OMUSDT,2024-12-24,2024-12-24 17:08:23.275000+03:30,1735047503275,3.7364,4998.29,4748.93,0.0
ONDOIRT,2024-12-24,2024-12-24 17:08:23.860000+03:30,1735047503860,1303150.0,3370.37,6593.030000000001,0.0
ONDOUSDT,2024-12-24,2024-12-24 17:08:23.227000+03:30,1735047503227,1.6898,13001.67,67502.35,0.0
ONEIRT,2024-12-24,2024-12-24 17:08:23.598000+03:30,1735047503598,24410.0,976015.7,784606.4,0.0
ONEUSDT,2024-12-24,2024-12-24 17:08:23.027000+03:30,1735047503027,0.031,786060.2,530313.8,0.0
PAXGIRT,2024-12-24,2024-12-24 17:08:23.731000+03:30,1735047503731,2073113590.0,2.01203,4.36587,0.0
PAXGUSDT,2024-12-24,2024-12-24 17:08:23.285000+03:30,1735047503285,2625.0,4.59716,7.81672,0.0
PENDLEIRT,2024-12-24,2024-12-24 17:08:23.781000+03:30,1735047503781,4153170.0,4680.019,3766.0119999999997,0.0
PENDLEUSDT,2024-12-24,2024-12-24 17:08:23.172000+03:30,1735047503172,5.27,5260.871,4928.72,0.0
PMNUSDT,2024-12-24,2024-12-24 17:08:23.071000+03:30,1735047503071,0.05787,53936.799999999996,39460.5,0.0
POLIRT,2024-12-24,2024-12-24 17:08:23.684000+03:30,1735047503684,403200.0,20633.0,23052.0,0.0
POLUSDT,2024-12-24,2024-12-24 17:08:23.077000+03:30,1735047503077,0.5129,63821.0,33737.0,0.0
QNTIRT,2024-12-24,2024-12-24 17:08:23.557000+03:30,1735047503557,92824850.0,428.572,288.591,0.0
QNTUSDT,2024-12-24,2024-12-24 17:08:23.136000+03:30,1735047503136,115.6,272.814,271.559,0.0
RDNTIRT,2024-12-24,2024-12-24 17:08:23.864000+03:30,1735047503864,49000.0,265148.23,392663.17,0.0
RDNTUSDT,2024-12-24,2024-12-24 17:08:23.244000+03:30,1735047503244,0.0622,580340.43,666258.3200000001,0.0
RENDERIRT,2024-12-24,2024-12-24 17:08:23.724000+03:30,1735047503724,6121040.0,1803.405,1319.0349999999999,0.0
RENDERUSDT,2024-12-24,2024-12-24 17:08:23.267000+03:30,1735047503267,7.75,5136.1939999999995,2997.6749999999997,0.0
RSRIRT,2024-12-24,2024-12-24 17:08:23.868000+03:30,1735047503868,10379.0,620016.0,2043892.0,0.0
RSRUSDT,2024-12-24,2024-12-24 17:08:23.248000+03:30,1735047503248,0.013108,2072644.0,2169138.0,0.0
SAFEIRT,2024-12-24,2024-12-24 17:08:23.790000+03:30,1735047503790,852260.0,7441.280000000001,13787.32,0.0
SAFEUSDT,2024-12-24,2024-12-24 17:08:23.180000+03:30,1735047503180,1.0639,19454.28,22389.11,0.0
SANDIRT,2024-12-24,2024-12-24 17:08:23.549000+03:30,1735047503549,481990.0,26013.0,38359.0,0.0
SANDUSDT,2024-12-24,2024-12-24 17:08:23.120000+03:30,1735047503120,0.6051,58459.0,35626.0,0.0
SHIBIRT,2024-12-24,2024-12-24 17:08:23.650000+03:30,1735047503650,17860.0,246481.0,472534.0,0.0
SHIBUSDT,2024-12-24,2024-12-24 17:08:23.037000+03:30,1735047503037,0.02268,2511373.0,1257152.0,0.0
SKLIRT,2024-12-24,2024-12-24 17:08:23.772000+03:30,1735047503772,40570.0,505647.8,501960.8,0.0
SKLUSDT,2024-12-24,2024-12-24 17:08:23.166000+03:30,1735047503166,0.05045,666740.6,708365.7000000001,0.0
SLPIRT,2024-12-24,2024-12-24 17:08:23.690000+03:30,1735047503690,3216.0,2251216.0,3222719.0,0.0
SLPUSDT,2024-12-24,2024-12-24 17:08:23.103000+03:30,1735047503103,0.00405,6750256.0,9738026.0,0.0
SNTIRT,2024-12-24,2024-12-24 17:08:23.671000+03:30,1735047503671,35280.0,210974.0,523115.60000000003,0.0
SNTUSDT,2024-12-24,2024-12-24 17:08:23.089000+03:30,1735047503089,0.0449,697097.8,828956.0,0.0
SNXIRT,2024-12-24,2024-12-24 17:08:23.656000+03:30,1735047503656,1756360.0,15653.7,16668.6,0.0
SNXUSDT,2024-12-24,2024-12-24 17:08:23.072000+03:30,1735047503072,2.225,14501.2,15282.5,0.0
SOLIRT,2024-12-24,2024-12-24 17:08:23.637000+03:30,1735047503637,154463680.0,144.129,88.853,0.0
SOLUSDT,2024-12-24,2024-12-24 17:08:23.040000+03:30,1735047503040,194.752,117.38,93.648,0.0
SSVIRT,2024-12-24,2024-12-24 17:08:23.822000+03:30,1735047503822,18355200.0,1478.0879,1134.0774999999999,0.0
SSVUSDT,2024-12-24,2024-12-24 17:08:23.201000+03:30,1735047503201,23.5,1431.3624,1620.6381000000001,0.0
STORJIRT,2024-12-24,2024-12-24 17:08:23.654000+03:30,1735047503654,404680.0,65393.65,52881.22,0.0
STORJUSDT,2024-12-24,2024-12-24 17:08:23.078000+03:30,1735047503078,0.5143,65796.15,69031.59,0.0
SUPERIRT,2024-12-24,2024-12-24 17:08:23.867000+03:30,1735047503867,1313820.0,16557.03,9959.0,0.0
SUPERUSDT,2024-12-24,2024-12-24 17:08:23.240000+03:30,1735047503240,1.6706,16537.61,16171.550000000001,0.0
SUSHIIRT,2024-12-24,2024-12-24 17:08:23.528000+03:30,1735047503528,1209860.0,9317.0,11446.0,0.0
SUSHIUSDT,2024-12-24,2024-12-24 17:08:23.122000+03:30,1735047503122,1.571,27145.0,23725.0,0.0
TIRT,2024-12-24,2024-12-24 17:08:23.770000+03:30,1735047503770,23200.0,433371.7,243015.69999999998,0.0
TONIRT,2024-12-24,2024-12-24 17:08:23.753000+03:30,1735047503753,4525010.0,914.9139999999999,1546.0739999999998,0.0
TONUSDT,2024-12-24,2024-12-24 17:08:23.151000+03:30,1735047503151,5.738,1505.631,917.0709999999999,0.0
TRBIRT,2024-12-24,2024-12-24 17:08:23.823000+03:30,1735047503823,51421700.0,333.65355,345.11927,0.0
TRBUSDT,2024-12-24,2024-12-24 17:08:23.209000+03:30,1735047503209,65.18,344.72851,325.45197,0.0
TRXIRT,2024-12-24,2024-12-24 17:08:23.708000+03:30,1735047503708,201960.0,24373.1,33377.8,0.0
TRXUSDT,2024-12-24,2024-12-24 17:08:23.059000+03:30,1735047503059,0.25499,52313.5,68148.3,0.0
TUSDT,2024-12-24,2024-12-24 17:08:23.138000+03:30,1735047503138,0.0291,1105568.4,1126317.2,0.0
UMAIRT,2024-12-24,2024-12-24 17:08:23.781000+03:30,1735047503781,2247830.0,8910.021999999999,10695.712,0.0
UMAUSDT,2024-12-24,2024-12-24 17:08:23.169000+03:30,1735047503169,2.885,5527.512,5644.938,0.0
